data_year,maternal_age_band,live_births,pct_within_year
2015,20-24,850509,21.38
2015,25-29,1152311,28.96
2015,30-34,1094693,27.52
2015,35-39,527996,13.27
2015,40-44,111848,2.81
2015,45+,8925,0.22
2016,<15,2253,0.06
2016,15-19,209809,5.32
2016,20-24,803978,20.38
2016,25-29,1149122,29.12
2016,30-34,1111042,28.16
2016,35-39,547488,13.87
2016,40-44,113140,2.87
2016,45+,9043,0.23
2017,<15,1917,0.05
2017,15-19,194377,5.04
2017,20-24,764780,19.84
2017,25-29,1123577,29.14
2017,30-34,1091917,28.32
2017,35-39,554796,14.39
2017,40-44,114813,2.98
2017,45+,9323,0.24
2018,<15,1736,0.05
2018,15-19,179871,4.74
2018,20-24,726175,19.15
2018,25-29,1099491,29.00
2018,30-34,1090697,28.77
2018,35-39,566786,14.95
2018,40-44,117381,3.10
2018,45+,9575,0.25
2019,<15,1787,0.05
2019,15-19,171674,4.58
2019,20-24,704342,18.79
2019,25-29,1078097,28.77
2019,30-34,1089281,29.07
2019,35-39,572598,15.28
2019,40-44,120152,3.21
2019,45+,9609,0.26
2020,<15,1765,0.05
2020,15-19,158043,4.37
2020,20-24,665595,18.42
2020,25-29,1024402,28.35
2020,30-34,1069984,29.61
2020,35-39,564059,15.61
2020,40-44,120570,3.34
2020,45+,9229,0.26
2021,<15,1877,0.05
2021,15-19,146973,4.01
2021,20-24,648484,17.70
2021,25-29,1023989,27.95
2021,30-34,1115055,30.43
2021,35-39,592179,16.16
2021,40-44,126332,3.45
2021,45+,9403,0.26
2022,<15,1825,0.05
2022,15-19,143789,3.92
2022,20-24,638685,17.41
2022,25-29,1013417,27.63
2022,30-34,1118787,30.50
2022,35-39,606598,16.54
2022,40-44,134115,3.66
2022,45+,10542,0.29
2023,<15,1766,0.05
2023,15-19,140977,3.92
2023,20-24,616970,17.16
2023,25-29,986567,27.43
2023,30-34,1098052,30.54
2023,35-39,604631,16.81
2023,40-44,136333,3.79
2023,45+,10721,0.30
2024,<15,1727,0.05
2024,15-19,137273,3.78
2024,20-24,611800,16.86
2024,25-29,990817,27.30
2024,30-34,1112409,30.65
2024,35-39,622517,17.15
2024,40-44,141515,3.90
2024,45+,10876,0.30
